case_id,category,source,fen,variant,move,mode,elapsed_s,completed_depth,engine_score_cp,nodes,nps,tt_cutoffs,null_tries,null_cutoffs,lmr_reductions,lmr_researches,futility_skips,repetition_draws,aspiration_retries,material_capture_deprioritized,qnodes,sf_best_move,sf_best_score,sf_candidate_score,sf_best_cp_equiv,sf_candidate_cp_equiv,cp_delta_raw,cp_loss,sf_best_expectation,sf_candidate_expectation,expectation_delta_raw,expectation_loss,mate_blunder,sign_flip,winning_to_notwinning,sf_best_pv,sf_candidate_pv
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,no_null,c3a4,timed,3.4068878370162565,5,13,44288,12999.54742237341,581,0,0,1380,7,6502,0,0,0,27329,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,null_safe,c3a4,timed,3.4104177900007926,6,44,46848,13736.733410597508,601,56,47,750,7,4737,0,0,0,29523,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,null_no_endgame,c3a4,timed,3.4107332960120402,6,44,48384,14185.805749330333,683,214,157,996,10,7049,0,0,0,30123,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,no_lmr,c3a4,timed,3.4044191720022354,6,36,49152,14437.705087617725,813,253,210,0,0,23329,0,0,0,28476,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,lmr_safe,c3a4,timed,3.4119039259967394,6,36,50176,14706.158522720358,910,133,96,364,2,22457,0,0,0,28482,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,no_futility,c3a4,timed,3.406877188012004,6,44,55040,16155.557410074176,526,141,100,857,8,0,0,0,0,32550,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,no_selectivity,c3a4,timed,3.4035615030152258,5,13,65792,19330.339687328895,604,0,0,0,0,0,0,0,0,35091,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0002,fen_suite,training/data/test_fens_60.txt,rnb1k1nr/pp3ppp/1qp5/2bpp3/4P3/1PNB1P2/P1PP2PP/R1BQK1NR w KQkq - 0 1,conservative,c3a4,timed,3.4064894969924353,6,36,52224,15330.73859353102,536,56,44,204,2,3505,0,0,14829,30762,c3a4,+91,+91,91,91,0.0,0.0,0.7115,0.7115,0.0,0.0,False,False,False,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5,c3a4 b6a5 a4c5 a5c5 a2a4 c8e6 c1a3 c5b6 a3b2 b8d7 e4d5 e6d5
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,baseline,d1h5,timed,3.4078980369959027,5,-35,52992,15549.761003622338,184,151,83,1065,34,8720,0,0,0,32946,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,no_null,d1h5,timed,3.401022425998235,5,-35,51712,15204.839463774484,471,0,0,1601,38,6456,0,0,0,32660,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,null_safe,d1h5,timed,3.40341996299685,5,-35,52736,15495.002254603867,295,44,26,945,26,6472,0,0,0,33168,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,null_no_endgame,d1h5,timed,3.401189477997832,5,-35,52992,15580.431593947727,184,151,83,1065,34,8720,0,0,0,32946,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,no_lmr,d1h5,timed,3.4008903420181014,5,-35,55040,16183.997266827208,171,142,69,0,0,9323,0,0,0,33747,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,lmr_safe,d1h5,timed,3.409490640013246,5,-35,56064,16443.511925811355,293,131,69,282,2,10319,0,0,0,33208,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
fen_0003,fen_suite,training/data/test_fens_60.txt,r1bqr1k1/ppp3p1/2n4p/2p1pp2/2P5/1P1BP3/PB1P1PPP/R2QK2R w KQ - 0 1,no_futility,d1h5,timed,3.4067385329981335,5,-35,60416,17734.263846433296,158,128,68,959,33,0,0,0,0,35994,d3c2,+19,+20,19,20,-1.0,0.0,0.5085,0.509,-0.000500000000000056,0.0,False,False,False,d3c2 c6b4 c2b1 b4d3 b1d3 d8d3 d1e2 d3e2 e1e2 a7a5 a2a4 c8d7,d1h5 e8f8 d3c2 a7a5 b2c3 c6b4 c2b1 d8d6 a2a3 b4d3 b1d3 d6d3
