variant,n_pairs,changed_move_pct,improved_exp_gt_0.01,worse_exp_gt_0.01,equal_exp_within_0.01,mean_expectation_loss_delta,exp_delta_ci95_lo,exp_delta_ci95_hi,mean_cp_loss_delta,cp_delta_ci95_lo,cp_delta_ci95_hi,rescued_150cp_blunders,introduced_150cp_blunders
no_null,20,5.0,0,1,19,0.010875000000000001,0.0,0.032625,3.6,0.0,10.8,0,0
null_safe,20,0.0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0
null_no_endgame,20,0.0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0
no_lmr,20,15.0,3,0,17,-0.005950000000000002,-0.014900000000000005,0.0,-4.55,-10.55,0.0,0,0
lmr_safe,20,10.0,2,0,18,-0.005250000000000002,-0.014625000000000004,0.0,-3.95,-9.95,0.0,0,0
no_futility,20,0.0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0,0
no_selectivity,20,25.0,3,1,16,0.015124999999999996,-0.013075000000000003,0.06085,2.15,-8.55,17.6,0,0
conservative,20,15.0,3,0,17,-0.005950000000000002,-0.014900000000000005,0.0,-4.55,-10.55,0.0,0,0
