variant,n,exact_best_pct,within_10cp_pct,within_30cp_pct,within_75cp_pct,within_150cp_pct,blunder_300cp_pct,mean_cp_loss_capped1000,median_cp_loss,p90_cp_loss,mean_expectation_loss,median_expectation_loss,p90_expectation_loss,mate_blunders,winning_to_notwinning,sign_flips,avg_depth,avg_nodes,avg_nps,avg_elapsed_s,null_tries,null_cutoffs,lmr_reductions,lmr_researches,futility_skips,tt_cutoffs,aspiration_retries
baseline,20,65.0,70.0,75.0,95.0,100.0,0.0,16.1,0.0,50.100000000000016,0.019450000000000002,0.0,0.051200000000000134,0,0,0,5.0,23297.4,16436.59103833804,1.4276548367983195,1451,752,15730,133,37104,7491,2
no_null,20,60.0,65.0,70.0,95.0,100.0,0.0,19.65,0.0,61.100000000000016,0.030700000000000005,0.0,0.12289999999999997,0,0,0,5.0,29417.0,15788.638306328347,1.8562406342985924,0,0,26201,159,56544,14712,2
null_safe,20,65.0,70.0,75.0,95.0,100.0,0.0,16.1,0.0,50.100000000000016,0.019450000000000002,0.0,0.051200000000000134,0,0,0,5.0,26850.6,15623.838393449594,1.7111241677499494,677,369,15797,155,37315,9365,2
null_no_endgame,20,65.0,70.0,75.0,95.0,100.0,0.0,16.1,0.0,50.100000000000016,0.019450000000000002,0.0,0.051200000000000134,0,0,0,5.0,23297.4,16353.467932602129,1.4349348508476396,1451,752,15730,133,37104,7491,2
no_lmr,20,60.0,65.0,80.0,95.0,100.0,0.0,15.95,0.0,42.90000000000003,0.019425000000000005,0.0,0.051200000000000134,0,0,0,5.0,47266.75,16838.658264457827,2.7852034982541225,2454,1237,0,0,214847,6380,1
lmr_safe,20,65.0,70.0,75.0,90.0,95.0,0.0,21.85,0.0,64.90000000000006,0.040925,0.0,0.12289999999999997,0,0,0,5.0,38921.95,17559.600092660006,2.2134705844990092,1445,745,1050,2,205080,4559,0
no_futility,20,65.0,70.0,75.0,95.0,100.0,0.0,16.1,0.0,50.100000000000016,0.019450000000000002,0.0,0.051200000000000134,0,0,0,5.0,27022.25,17546.61739390496,1.5563361286040163,1451,752,15729,133,0,7491,2
no_selectivity,20,60.0,65.0,80.0,95.0,100.0,0.0,15.95,0.0,42.90000000000003,0.019425000000000005,0.0,0.051200000000000134,0,0,0,5.0,98901.9,19793.025240468447,4.980704535452242,0,0,0,0,0,14721,1
conservative,20,65.0,70.0,75.0,90.0,95.0,0.0,21.85,0.0,64.90000000000006,0.040925,0.0,0.12289999999999997,0,0,0,5.0,54425.0,18687.841464942558,2.862546878303692,655,365,1036,2,93236,6256,0
